Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,vacant,1610,dhaka,13100000.00,"Block H, Bashundhara R-A"
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,vacant,2180,dhaka,17500000.00,"Block J, Bashundhara R-A"
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,vacant,3650,dhaka,78000000.00,"Gulshan 2, Gulshan"
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,vacant,5000,dhaka,110000000.00,"Free School Street, Kathalbagan"
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,vacant,2700,dhaka,55000000.00,"Gulshan 1, Gulshan"
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,vacant,1175,dhaka,8300000.00,"Baitul Aman Housing Society, Adabor"
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,vacant,650,dhaka,3100000.00,"Section 6, Mirpur"
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,vacant,1331,dhaka,16000000.00,"Sector 4, Uttara"
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,vacant,900,dhaka,4500000.00,"Nobodoy Housing Society, Mohammadpur"
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3,2,2,vacant,950,dhaka,6000000.00,"Gulbag, Malibagh"
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2,2,6,vacant,1230,dhaka,5000000.00,"West Shewrapara, Mirpur"
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3,2,7,vacant,1150,dhaka,6500000.00,"Middle Monipur, Mirpur"
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3,2,7,vacant,1150,dhaka,6500000.00,"Middle Monipur, Mirpur"
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3,3,7,vacant,1150,dhaka,6700000.00,"Manikdi, Cantonment"
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3,3,2,vacant,1250,dhaka,7600000.00,"East Kazipara, Mirpur"
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2,2,2,vacant,860,dhaka,4900000.00,"Rupnagar R/A, Mirpur"
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3,2,1,vacant,1050,dhaka,6200000.00,"West Kazipara, Mirpur"
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4,4,10,vacant,3355,dhaka,39000000.00,"Sector 4, Uttara"
Buy This 1375 Sq Ft Apartment In Mirpur-6,3,3,5,vacant,1375,dhaka,12100000.00,"Section 6, Mirpur"
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,,,4,vacant,21500,dhaka,220000000.00,"Hemayetpur, Savar"
Worthy 900 SQ FT residence is for sale at North Pirerbag,3,2,2,vacant,900,dhaka,5000000.00,"Pirerbag, Mirpur"
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3,3,5,vacant,1008,dhaka,4838400.00,"Section 10, Mirpur"
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3,2,3,vacant,1055,dhaka,5300000.00,"Moushair, Dakshin Khan"
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3,3,5,vacant,1800,dhaka,16000000.00,"Block F, Bashundhara R-A"
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3,3,2,vacant,1250,dhaka,5250000.00,"Ahmed Nagar, Mirpur"
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8,4,,vacant,2146,dhaka,10500000.00,"Ashulia, Savar"
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3,2,9,vacant,900,dhaka,2900000.00,"Hemayetpur, Savar"
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2,2,6,vacant,1050,dhaka,3360000.00,"Radio Colony, Savar"
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3,3,2,vacant,1250,dhaka,11500000.00,"Block C, Bashundhara R-A"
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3,3,9,vacant,1675,dhaka,9712500.00,"Section 1, Mirpur"
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3,3,1,vacant,1300,dhaka,7500000.00,"Ahmed Nagar, Mirpur"
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3,4,1,vacant,2787,dhaka,29000000.00,"Road No 12A, Dhanmondi"
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4,4,9,vacant,5040,dhaka,54000000.00,"Block C, Bashundhara R-A"
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3,2,5,vacant,986,dhaka,6200000.00,"Sector 9, Uttara"
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2,2,5,vacant,920,dhaka,3300000.00,"South Chalabon, Dakshin Khan"
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3,3,1,vacant,1275,dhaka,8500000.00,"West Agargaon, Agargaon"
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3,3,2,vacant,2290,dhaka,22500000.00,"Block B, Bashundhara R-A"
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3,3,2,vacant,1400,dhaka,7800000.00,"Section 12, Mirpur"
A Reasonable Apartment Is Available For Sale At Mirpur-10,3,2,4,vacant,1075,dhaka,5500000.00,"Section 10, Mirpur"
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3,3,1,vacant,1300,dhaka,9600000.00,"Sector 5, Uttara"
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3,3,2,vacant,1135,dhaka,7500000.00,"Ashkona, Dakshin Khan"
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2,2,2,vacant,855,dhaka,4702500.00,"Section 10, Mirpur"
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3,3,2,vacant,1425,dhaka,9000000.00,"East Rampura, Rampura"
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3,4,4,vacant,2380,dhaka,21500000.00,"Block D, Bashundhara R-A"
"Set Up Your New Office In The Busiest Location Of West Rampura, An Open Space Is Prepared To Be Sale Nearby Rajdhani Ideal School &amp; College",,,5,vacant,2600,dhaka,31200000.00,"West Rampura, Rampura"
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4,4,4,vacant,2000,dhaka,14800000.00,"Baitul Aman Housing Society, Adabor"
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3,3,2,vacant,1600,dhaka,14000000.00,"Sector 12, Uttara"
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4,4,3,vacant,2200,dhaka,25000000.00,"Mirpur DOHS, Mirpur"
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4,4,8,vacant,3474,dhaka,45000000.00,"Sector 3, Uttara"
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3,4,9,vacant,1550,dhaka,15000000.00,"Block C, Aftab Nagar"
850 Sq Ft Flat For Sale In South Badda,2,2,1,vacant,850,dhaka,5000000.00,"South Badda, Badda"
A Office Space Is Available For Sale Which Is Located On Uttara Nearby Zam Zam Tower.,,,6,vacant,2075,dhaka,29050000.00,"Sector 13, Uttara"
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3,3,3,vacant,1380,dhaka,9500000.00,"Block E, Aftab Nagar"
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3,3,8,vacant,1350,dhaka,11300000.00,"Block C, Banasree"
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3,3,2,vacant,1470,dhaka,7000000.00,"Mansurabad Housing Society, Adabor"
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3,2,1,vacant,1090,dhaka,5500000.00,"West Shewrapara, Mirpur"
"1220 Sq Ft Flat For Sale In Banasree, Block G",3,2,7,vacant,1220,dhaka,8000000.00,"Block G, Banasree"
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3,3,2,vacant,1550,dhaka,14500000.00,"Uttar Badda, Badda"
Ideal 8.08 Katha Plot For Sale In Gulshan 1,,,,vacant,5824,dhaka,300000000.00,"Gulshan 1, Gulshan"
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3,4,5,vacant,1654,dhaka,12500000.00,"Sector 18, Uttara"
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3,2,2,vacant,975,dhaka,4000000.00,"East Kazipara, Mirpur"
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2,2,4,vacant,740,dhaka,3500000.00,"Pirerbag, Mirpur"
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3,3,5,vacant,1370,dhaka,9200000.00,"Middle Badda, Badda"
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3,2,2,vacant,950,dhaka,4000000.00,"Moushair, Dakshin Khan"
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3,3,3,vacant,1365,dhaka,8540000.00,"Uttar Badda, Badda"
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3,3,3,vacant,1128,dhaka,7118000.00,"Uttar Badda, Badda"
